country_name,Related_indicators,Latest_value,Reference,Measure
Bahrain,Crop production index,106.3,"
                                                                    2021
                                                            ",index points
Bahrain,Precipitation,83,"
                                                                    2020
                                                            ",mm per year
Bahrain,"Arable land, percent of land area",2.7,"
                                                                    2021
                                                            ",percent
Bahrain,Food production index,128.4,"
                                                                    2021
                                                            ",index points
Bahrain,Fertilizer use,"1,395.9","
                                                                    2021
                                                            ",kg per hectare of arable land
Bahrain,Livestock production index,133.5,"
                                                                    2021
                                                            ",index points
Bahrain,"Forest area, sq.km ",7.2,"
                                                                    2021
                                                            ",sq. km
Yemen,"Forest area, percent",1.0,"
                                                                    2021
                                                            ",percent
Yemen,Percent agricultural land,44.42,"
                                                                    2021
                                                            ",percent
Yemen,Employment in agriculture,28.09,"
                                                                    2021
                                                            ",percent
Yemen,GDP share of agriculture,28.75,"
                                                                    2018
                                                            ",percent
Yemen,Agriculture value added,6.21,"
                                                                    2018
                                                            ",billion U.S. dollars
Yemen,Agricultural land,"234,520","
                                                                    2021
                                                            ",sq. km.
Yemen,Crop production index,97.7,"
                                                                    2021
                                                            ",index points
Yemen,Precipitation,167,"
                                                                    2020
                                                            ",mm per year
Yemen,"Arable land, percent of land area",2.2,"
                                                                    2021
                                                            ",percent
Yemen,Cereal crop yield by hectar,792,"
                                                                    2021
                                                            ",kg per hectar
Yemen,Food production index,104.9,"
                                                                    2021
                                                            ",index points
Yemen,Fertilizer use,10.6,"
                                                                    2021
                                                            ",kg per hectare of arable land
Yemen,Livestock production index,112.3,"
                                                                    2021
                                                            ",index points
Yemen,"Forest area, sq.km ","5,490.0","
                                                                    2021
                                                            ",sq. km
Jordan,"Forest area, percent",1.1,"
                                                                    2021
                                                            ",percent
Jordan,Percent agricultural land,11.52,"
                                                                    2021
                                                            ",percent
Jordan,Employment in agriculture,3.25,"
                                                                    2021
                                                            ",percent
Jordan,GDP share of agriculture,4.81,"
                                                                    2022
                                                            ",percent
Jordan,Agriculture value added,2.34,"
                                                                    2022
                                                            ",billion U.S. dollars
Jordan,Agricultural land,"10,230","
                                                                    2021
                                                            ",sq. km.
Jordan,Crop production index,91.8,"
                                                                    2021
                                                            ",index points
Jordan,Precipitation,111,"
                                                                    2020
                                                            ",mm per year
Jordan,"Arable land, percent of land area",2.2,"
                                                                    2021
                                                            ",percent
Jordan,Cereal crop yield by hectar,"2,290","
                                                                    2021
                                                            ",kg per hectar
Jordan,Food production index,102.8,"
                                                                    2021
                                                            ",index points
Jordan,Fertilizer use,138.9,"
                                                                    2021
                                                            ",kg per hectare of arable land
Jordan,Livestock production index,121.4,"
                                                                    2021
                                                            ",index points
Jordan,"Forest area, sq.km ",975.0,"
                                                                    2021
                                                            ",sq. km
Kazakhstan,"Forest area, percent",1.3,"
                                                                    2021
                                                            ",percent
Kazakhstan,Percent agricultural land,79.19,"
                                                                    2021
                                                            ",percent
Kazakhstan,Employment in agriculture,15.05,"
                                                                    2021
                                                            ",percent
Kazakhstan,GDP share of agriculture,5.25,"
                                                                    2022
                                                            ",percent
Kazakhstan,Agriculture value added,11.83,"
                                                                    2022
                                                            ",billion U.S. dollars
Kazakhstan,Agricultural land,"2,137,959","
                                                                    2021
                                                            ",sq. km.
Kazakhstan,Crop production index,108.8,"
                                                                    2021
                                                            ",index points
Kazakhstan,Precipitation,250,"
                                                                    2020
                                                            ",mm per year
Kazakhstan,"Arable land, percent of land area",11.0,"
                                                                    2021
                                                            ",percent
Kazakhstan,Cereal crop yield by hectar,"1,049","
                                                                    2021
                                                            ",kg per hectar
Kazakhstan,Food production index,114.7,"
                                                                    2021
                                                            ",index points
Kazakhstan,Fertilizer use,4.4,"
                                                                    2021
                                                            ",kg per hectare of arable land
Kazakhstan,Livestock production index,123.7,"
                                                                    2021
                                                            ",index points
Kazakhstan,"Forest area, sq.km ","34,839.2","
                                                                    2021
                                                            ",sq. km
Palestine,"Forest area, percent",1.7,"
                                                                    2021
                                                            ",percent
Palestine,Percent agricultural land,64.93,"
                                                                    2021
                                                            ",percent
Palestine,Employment in agriculture,6.66,"
                                                                    2021
                                                            ",percent
Palestine,GDP share of agriculture,6.32,"
                                                                    2021
                                                            ",percent
Palestine,Agriculture value added,1.14,"
                                                                    2021
                                                            ",billion U.S. dollars
Palestine,Agricultural land,"3,912","
                                                                    2021
                                                            ",sq. km.
Palestine,Crop production index,97.5,"
                                                                    2021
                                                            ",index points
Palestine,Precipitation,402,"
                                                                    2020
                                                            ",mm per year
Palestine,"Arable land, percent of land area",7.0,"
                                                                    2021
                                                            ",percent
Palestine,Cereal crop yield by hectar,"2,271","
                                                                    2021
                                                            ",kg per hectar
Palestine,Food production index,104.5,"
                                                                    2021
                                                            ",index points
Palestine,Fertilizer use,372.0,"
                                                                    2021
                                                            ",kg per hectare of arable land
Palestine,Livestock production index,115.2,"
                                                                    2021
                                                            ",index points
Palestine,"Forest area, sq.km ",101.4,"
                                                                    2021
                                                            ",sq. km
Iraq,"Forest area, percent",1.9,"
                                                                    2021
                                                            ",percent
Iraq,Percent agricultural land,21.71,"
                                                                    2021
                                                            ",percent
Iraq,Employment in agriculture,19.82,"
                                                                    2021
                                                            ",percent
Iraq,GDP share of agriculture,2.85,"
                                                                    2022
                                                            ",percent
Iraq,Agriculture value added,7.53,"
                                                                    2022
                                                            ",billion U.S. dollars
Iraq,Agricultural land,"94,240","
                                                                    2021
                                                            ",sq. km.
Iraq,Crop production index,127.2,"
                                                                    2021
                                                            ",index points
Iraq,Precipitation,216,"
                                                                    2020
                                                            ",mm per year
Iraq,"Arable land, percent of land area",11.4,"
                                                                    2021
                                                            ",percent
Iraq,Cereal crop yield by hectar,"2,730","
                                                                    2021
                                                            ",kg per hectar
Iraq,Food production index,123.6,"
                                                                    2021
                                                            ",index points
Iraq,Fertilizer use,55.2,"
                                                                    2021
                                                            ",kg per hectare of arable land
Iraq,Livestock production index,107.2,"
                                                                    2021
                                                            ",index points
Iraq,"Forest area, sq.km ","8,250.0","
                                                                    2021
                                                            ",sq. km
Afghanistan,"Forest area, percent",1.9,"
                                                                    2021
                                                            ",percent
Afghanistan,Percent agricultural land,58.74,"
                                                                    2021
                                                            ",percent
Afghanistan,Employment in agriculture,45.98,"
                                                                    2020
                                                            ",percent
Afghanistan,GDP share of agriculture,33.60,"
                                                                    2021
                                                            ",percent
Afghanistan,Agriculture value added,4.79,"
                                                                    2021
                                                            ",billion U.S. dollars
Afghanistan,Agricultural land,"383,130","
                                                                    2021
                                                            ",sq. km.
Afghanistan,Crop production index,121.5,"
                                                                    2021
                                                            ",index points
Afghanistan,Precipitation,327,"
                                                                    2020
                                                            ",mm per year
Afghanistan,"Arable land, percent of land area",12.0,"
                                                                    2021
                                                            ",percent
Afghanistan,Cereal crop yield by hectar,"2,155","
                                                                    2021
                                                            ",kg per hectar
Afghanistan,Food production index,113.7,"
                                                                    2021
                                                            ",index points
Afghanistan,Fertilizer use,5.2,"
                                                                    2021
                                                            ",kg per hectare of arable land
Afghanistan,Livestock production index,102.0,"
                                                                    2021
                                                            ",index points
Afghanistan,"Forest area, sq.km ","12,084.4","
                                                                    2021
                                                            ",sq. km
Maldives,"Forest area, percent",2.7,"
                                                                    2021
                                                            ",percent
Maldives,Percent agricultural land,19.67,"
                                                                    2021
                                                            ",percent
Maldives,Employment in agriculture,10.53,"
                                                                    2021
                                                            ",percent
Maldives,GDP share of agriculture,4.92,"
                                                                    2022
                                                            ",percent
Maldives,Agriculture value added,0.30,"
                                                                    2022
                                                            ",billion U.S. dollars
Maldives,Agricultural land,59,"
                                                                    2021
                                                            ",sq. km.
Maldives,Crop production index,92.9,"
                                                                    2021
                                                            ",index points
Maldives,Precipitation,"1,972","
                                                                    2020
                                                            ",mm per year
Maldives,"Arable land, percent of land area",13.0,"
                                                                    2021
                                                            ",percent
Maldives,Cereal crop yield by hectar,"2,324","
                                                                    2021
                                                            ",kg per hectar
Maldives,Food production index,93.9,"
                                                                    2021
                                                            ",index points
Maldives,Fertilizer use,110.1,"
                                                                    2021
                                                            ",kg per hectare of arable land
Maldives,Livestock production index,100.2,"
                                                                    2021
                                                            ",index points
Maldives,"Forest area, sq.km ",8.2,"
                                                                    2021
                                                            ",sq. km
Tajikistan,"Forest area, percent",3.1,"
                                                                    2021
                                                            ",percent
Tajikistan,Percent agricultural land,35.43,"
                                                                    2021
                                                            ",percent
Tajikistan,Employment in agriculture,42.60,"
                                                                    2021
                                                            ",percent
Tajikistan,GDP share of agriculture,22.45,"
                                                                    2021
                                                            ",percent
Tajikistan,Agriculture value added,2.01,"
                                                                    2021
                                                            ",billion U.S. dollars
Tajikistan,Agricultural land,"49,170","
                                                                    2021
                                                            ",sq. km.
Tajikistan,Crop production index,133.1,"
                                                                    2021
                                                            ",index points
Tajikistan,Precipitation,691,"
                                                                    2020
                                                            ",mm per year
Tajikistan,"Arable land, percent of land area",6.0,"
                                                                    2021
                                                            ",percent
Tajikistan,Cereal crop yield by hectar,"3,610","
                                                                    2021
                                                            ",kg per hectar
Tajikistan,Food production index,128.8,"
                                                                    2021
                                                            ",index points
Tajikistan,Fertilizer use,90.4,"
                                                                    2021
                                                            ",kg per hectare of arable land
Tajikistan,Livestock production index,130.6,"
                                                                    2021
                                                            ",index points
Tajikistan,"Forest area, sq.km ","4,248.0","
                                                                    2021
                                                            ",sq. km
UA Emirates,"Forest area, percent",4.5,"
                                                                    2021
                                                            ",percent
UA Emirates,Percent agricultural land,5.51,"
                                                                    2021
                                                            ",percent
UA Emirates,Employment in agriculture,1.70,"
                                                                    2021
                                                            ",percent
UA Emirates,GDP share of agriculture,0.82,"
                                                                    2022
                                                            ",percent
UA Emirates,Agriculture value added,4.18,"
                                                                    2022
                                                            ",billion U.S. dollars
UA Emirates,Agricultural land,"3,916","
                                                                    2021
                                                            ",sq. km.
UA Emirates,Crop production index,106.7,"
                                                                    2021
                                                            ",index points
UA Emirates,Precipitation,78,"
                                                                    2020
                                                            ",mm per year
UA Emirates,"Arable land, percent of land area",0.7,"
                                                                    2021
                                                            ",percent
UA Emirates,Cereal crop yield by hectar,"26,226","
                                                                    2021
                                                            ",kg per hectar
UA Emirates,Food production index,124.7,"
                                                                    2021
                                                            ",index points
UA Emirates,Fertilizer use,626.8,"
                                                                    2021
                                                            ",kg per hectare of arable land
UA Emirates,Livestock production index,139.6,"
                                                                    2021
                                                            ",index points
UA Emirates,"Forest area, sq.km ","3,173.0","
                                                                    2021
                                                            ",sq. km
Syria,"Forest area, percent",2.8,"
                                                                    2021
                                                            ",percent
Syria,Percent agricultural land,75.77,"
                                                                    2021
                                                            ",percent
Syria,Employment in agriculture,12.49,"
                                                                    2021
                                                            ",percent
Syria,GDP share of agriculture,27.82,"
                                                                    2021
                                                            ",percent
Syria,Agriculture value added,2.50,"
                                                                    2021
                                                            ",billion U.S. dollars
Syria,Agricultural land,"139,134","
                                                                    2021
                                                            ",sq. km.
Syria,Crop production index,105.8,"
                                                                    2021
                                                            ",index points
Syria,Precipitation,252,"
                                                                    2020
                                                            ",mm per year
Syria,"Arable land, percent of land area",25.4,"
                                                                    2021
                                                            ",percent
Syria,Cereal crop yield by hectar,820,"
                                                                    2021
                                                            ",kg per hectar
Syria,Food production index,104.1,"
                                                                    2021
                                                            ",index points
Syria,Fertilizer use,3.9,"
                                                                    2021
                                                            ",kg per hectare of arable land
Syria,Livestock production index,98.3,"
                                                                    2021
                                                            ",index points
Syria,"Forest area, sq.km ","5,220.8","
                                                                    2021
                                                            ",sq. km
Israel,"Forest area, percent",6.5,"
                                                                    2021
                                                            ",percent
Israel,Percent agricultural land,29.74,"
                                                                    2021
                                                            ",percent
Israel,Employment in agriculture,0.89,"
                                                                    2021
                                                            ",percent
Israel,GDP share of agriculture,1.26,"
                                                                    2021
                                                            ",percent
Israel,Agriculture value added,6.16,"
                                                                    2021
                                                            ",billion U.S. dollars
Israel,Agricultural land,"6,435","
                                                                    2021
                                                            ",sq. km.
Israel,Crop production index,93.3,"
                                                                    2021
                                                            ",index points
Israel,Precipitation,435,"
                                                                    2020
                                                            ",mm per year
Israel,"Arable land, percent of land area",17.4,"
                                                                    2021
                                                            ",percent
Israel,Cereal crop yield by hectar,"3,509","
                                                                    2021
                                                            ",kg per hectar
Israel,Food production index,100.0,"
                                                                    2021
                                                            ",index points
Israel,Fertilizer use,265.4,"
                                                                    2021
                                                            ",kg per hectare of arable land
Israel,Livestock production index,103.7,"
                                                                    2021
                                                            ",index points
Israel,"Forest area, sq.km ","1,400.0","
                                                                    2021
                                                            ",sq. km
Pakistan,"Forest area, percent",4.8,"
                                                                    2021
                                                            ",percent
Pakistan,Percent agricultural land,47.09,"
                                                                    2021
                                                            ",percent
Pakistan,Employment in agriculture,37.54,"
                                                                    2021
                                                            ",percent
Pakistan,GDP share of agriculture,22.35,"
                                                                    2022
                                                            ",percent
Pakistan,Agriculture value added,83.75,"
                                                                    2022
                                                            ",billion U.S. dollars
Pakistan,Agricultural land,"363,030","
                                                                    2021
                                                            ",sq. km.
Pakistan,Crop production index,116.8,"
                                                                    2021
                                                            ",index points
Pakistan,Precipitation,494,"
                                                                    2020
                                                            ",mm per year
Pakistan,"Arable land, percent of land area",39.6,"
                                                                    2021
                                                            ",percent
Pakistan,Cereal crop yield by hectar,"3,565","
                                                                    2021
                                                            ",kg per hectar
Pakistan,Food production index,126.5,"
                                                                    2021
                                                            ",index points
Pakistan,Fertilizer use,157.3,"
                                                                    2021
                                                            ",kg per hectare of arable land
Pakistan,Livestock production index,126.6,"
                                                                    2021
                                                            ",index points
Pakistan,"Forest area, sq.km ","36,845.6","
                                                                    2021
                                                            ",sq. km
Iran,"Forest area, percent",6.6,"
                                                                    2021
                                                            ",percent
Iran,Percent agricultural land,29.01,"
                                                                    2021
                                                            ",percent
Iran,Employment in agriculture,16.25,"
                                                                    2021
                                                            ",percent
Iran,GDP share of agriculture,12.77,"
                                                                    2022
                                                            ",percent
Iran,Agriculture value added,52.78,"
                                                                    2022
                                                            ",billion U.S. dollars
Iran,Agricultural land,"470,670","
                                                                    2021
                                                            ",sq. km.
Iran,Crop production index,78.2,"
                                                                    2021
                                                            ",index points
Iran,Precipitation,228,"
                                                                    2020
                                                            ",mm per year
Iran,"Arable land, percent of land area",9.7,"
                                                                    2021
                                                            ",percent
Iran,Cereal crop yield by hectar,"1,635","
                                                                    2021
                                                            ",kg per hectar
Iran,Food production index,83.8,"
                                                                    2021
                                                            ",index points
Iran,Fertilizer use,68.3,"
                                                                    2021
                                                            ",kg per hectare of arable land
Iran,Livestock production index,96.9,"
                                                                    2021
                                                            ",index points
Iran,"Forest area, sq.km ","107,656.3","
                                                                    2021
                                                            ",sq. km
Kyrgyzstan,"Forest area, percent",7.0,"
                                                                    2021
                                                            ",percent
Kyrgyzstan,Percent agricultural land,54.05,"
                                                                    2021
                                                            ",percent
Kyrgyzstan,Employment in agriculture,16.58,"
                                                                    2021
                                                            ",percent
Kyrgyzstan,GDP share of agriculture,10.94,"
                                                                    2022
                                                            ",percent
Kyrgyzstan,Agriculture value added,1.26,"
                                                                    2022
                                                            ",billion U.S. dollars
Kyrgyzstan,Agricultural land,"103,661","
                                                                    2021
                                                            ",sq. km.
Kyrgyzstan,Crop production index,97.7,"
                                                                    2021
                                                            ",index points
Kyrgyzstan,Precipitation,533,"
                                                                    2020
                                                            ",mm per year
Kyrgyzstan,"Arable land, percent of land area",6.7,"
                                                                    2021
                                                            ",percent
Kyrgyzstan,Cereal crop yield by hectar,"2,335","
                                                                    2021
                                                            ",kg per hectar
Kyrgyzstan,Food production index,104.9,"
                                                                    2021
                                                            ",index points
Kyrgyzstan,Fertilizer use,22.6,"
                                                                    2021
                                                            ",kg per hectare of arable land
Kyrgyzstan,Livestock production index,111.8,"
                                                                    2021
                                                            ",index points
Kyrgyzstan,"Forest area, sq.km ","13,336.2","
                                                                    2021
                                                            ",sq. km
Uzbekistan,"Forest area, percent",8.4,"
                                                                    2021
                                                            ",percent
Uzbekistan,Percent agricultural land,58.30,"
                                                                    2021
                                                            ",percent
Uzbekistan,Employment in agriculture,23.95,"
                                                                    2021
                                                            ",percent
Uzbekistan,GDP share of agriculture,23.47,"
                                                                    2022
                                                            ",percent
Uzbekistan,Agriculture value added,18.86,"
                                                                    2022
                                                            ",billion U.S. dollars
Uzbekistan,Agricultural land,"256,906","
                                                                    2021
                                                            ",sq. km.
Uzbekistan,Crop production index,102.4,"
                                                                    2021
                                                            ",index points
Uzbekistan,Precipitation,206,"
                                                                    2020
                                                            ",mm per year
Uzbekistan,"Arable land, percent of land area",9.1,"
                                                                    2021
                                                            ",percent
Uzbekistan,Cereal crop yield by hectar,"4,736","
                                                                    2021
                                                            ",kg per hectar
Uzbekistan,Food production index,109.9,"
                                                                    2021
                                                            ",index points
Uzbekistan,Fertilizer use,296.8,"
                                                                    2021
                                                            ",kg per hectare of arable land
Uzbekistan,Livestock production index,118.5,"
                                                                    2021
                                                            ",index points
Uzbekistan,"Forest area, sq.km ","37,155.0","
                                                                    2021
                                                            ",sq. km
Turkmenistan,"Forest area, percent",8.8,"
                                                                    2021
                                                            ",percent
Turkmenistan,Percent agricultural land,72.01,"
                                                                    2021
                                                            ",percent
Turkmenistan,Employment in agriculture,22.32,"
                                                                    2021
                                                            ",percent
Turkmenistan,GDP share of agriculture,11.75,"
                                                                    2021
                                                            ",percent
Turkmenistan,Agriculture value added,5.88,"
                                                                    2021
                                                            ",billion U.S. dollars
Turkmenistan,Agricultural land,"338,380","
                                                                    2021
                                                            ",sq. km.
Turkmenistan,Crop production index,127.9,"
                                                                    2021
                                                            ",index points
Turkmenistan,Precipitation,161,"
                                                                    2020
                                                            ",mm per year
Turkmenistan,"Arable land, percent of land area",4.1,"
                                                                    2021
                                                            ",percent
Turkmenistan,Cereal crop yield by hectar,"2,034","
                                                                    2021
                                                            ",kg per hectar
Turkmenistan,Food production index,108.8,"
                                                                    2021
                                                            ",index points
Turkmenistan,Fertilizer use,241.9,"
                                                                    2021
                                                            ",kg per hectare of arable land
Turkmenistan,Livestock production index,107.0,"
                                                                    2021
                                                            ",index points
Turkmenistan,"Forest area, sq.km ","41,270.0","
                                                                    2021
                                                            ",sq. km
Armenia,"Forest area, percent",11.5,"
                                                                    2021
                                                            ",percent
Armenia,Percent agricultural land,58.83,"
                                                                    2021
                                                            ",percent
Armenia,Employment in agriculture,30.28,"
                                                                    2021
                                                            ",percent
Armenia,GDP share of agriculture,10.37,"
                                                                    2022
                                                            ",percent
Armenia,Agriculture value added,2.02,"
                                                                    2022
                                                            ",billion U.S. dollars
Armenia,Agricultural land,"16,748","
                                                                    2021
                                                            ",sq. km.
Armenia,Crop production index,77.9,"
                                                                    2021
                                                            ",index points
Armenia,Precipitation,562,"
                                                                    2020
                                                            ",mm per year
Armenia,"Arable land, percent of land area",15.6,"
                                                                    2021
                                                            ",percent
Armenia,Cereal crop yield by hectar,"2,243","
                                                                    2021
                                                            ",kg per hectar
Armenia,Food production index,84.9,"
                                                                    2021
                                                            ",index points
Armenia,Fertilizer use,203.7,"
                                                                    2021
                                                            ",kg per hectare of arable land
Armenia,Livestock production index,95.7,"
                                                                    2021
                                                            ",index points
Armenia,"Forest area, sq.km ","3,282.6","
                                                                    2021
                                                            ",sq. km
Mongolia,"Forest area, percent",9.1,"
                                                                    2021
                                                            ",percent
Mongolia,Percent agricultural land,72.32,"
                                                                    2021
                                                            ",percent
Mongolia,Employment in agriculture,24.29,"
                                                                    2021
                                                            ",percent
Mongolia,GDP share of agriculture,13.03,"
                                                                    2022
                                                            ",percent
Mongolia,Agriculture value added,2.23,"
                                                                    2022
                                                            ",billion U.S. dollars
Mongolia,Agricultural land,"1,126,312","
                                                                    2021
                                                            ",sq. km.
Mongolia,Crop production index,141.3,"
                                                                    2021
                                                            ",index points
Mongolia,Precipitation,241,"
                                                                    2020
                                                            ",mm per year
Mongolia,"Arable land, percent of land area",0.9,"
                                                                    2021
                                                            ",percent
Mongolia,Cereal crop yield by hectar,"1,420","
                                                                    2021
                                                            ",kg per hectar
Mongolia,Food production index,129.6,"
                                                                    2021
                                                            ",index points
Mongolia,Fertilizer use,31.3,"
                                                                    2021
                                                            ",kg per hectare of arable land
Mongolia,Livestock production index,127.3,"
                                                                    2021
                                                            ",index points
Mongolia,"Forest area, sq.km ","141,716.7","
                                                                    2021
                                                            ",sq. km
Azerbaijan,"Forest area, percent",13.8,"
                                                                    2021
                                                            ",percent
Azerbaijan,Percent agricultural land,57.84,"
                                                                    2021
                                                            ",percent
Azerbaijan,Employment in agriculture,34.19,"
                                                                    2021
                                                            ",percent
Azerbaijan,GDP share of agriculture,4.76,"
                                                                    2022
                                                            ",percent
Azerbaijan,Agriculture value added,3.75,"
                                                                    2022
                                                            ",billion U.S. dollars
Azerbaijan,Agricultural land,"47,806","
                                                                    2021
                                                            ",sq. km.
Azerbaijan,Crop production index,142.5,"
                                                                    2021
                                                            ",index points
Azerbaijan,Precipitation,447,"
                                                                    2020
                                                            ",mm per year
Azerbaijan,"Arable land, percent of land area",25.3,"
                                                                    2021
                                                            ",percent
Azerbaijan,Cereal crop yield by hectar,"3,297","
                                                                    2021
                                                            ",kg per hectar
Azerbaijan,Food production index,127.0,"
                                                                    2021
                                                            ",index points
Azerbaijan,Fertilizer use,105.6,"
                                                                    2021
                                                            ",kg per hectare of arable land
Azerbaijan,Livestock production index,118.5,"
                                                                    2021
                                                            ",index points
Azerbaijan,"Forest area, sq.km ","11,433.0","
                                                                    2021
                                                            ",sq. km
Lebanon,"Forest area, percent",14.1,"
                                                                    2021
                                                            ",percent
Lebanon,Percent agricultural land,66.40,"
                                                                    2021
                                                            ",percent
Lebanon,Employment in agriculture,3.81,"
                                                                    2021
                                                            ",percent
Lebanon,GDP share of agriculture,1.40,"
                                                                    2021
                                                            ",percent
Lebanon,Agriculture value added,0.32,"
                                                                    2021
                                                            ",billion U.S. dollars
Lebanon,Agricultural land,"6,793","
                                                                    2021
                                                            ",sq. km.
Lebanon,Crop production index,97.6,"
                                                                    2021
                                                            ",index points
Lebanon,Precipitation,661,"
                                                                    2020
                                                            ",mm per year
Lebanon,"Arable land, percent of land area",13.6,"
                                                                    2021
                                                            ",percent
Lebanon,Cereal crop yield by hectar,"2,178","
                                                                    2021
                                                            ",kg per hectar
Lebanon,Food production index,100.1,"
                                                                    2021
                                                            ",index points
Lebanon,Fertilizer use,146.3,"
                                                                    2021
                                                            ",kg per hectare of arable land
Lebanon,Livestock production index,107.8,"
                                                                    2021
                                                            ",index points
Lebanon,"Forest area, sq.km ","1,439.3","
                                                                    2021
                                                            ",sq. km
Bangladesh,"Forest area, percent",14.5,"
                                                                    2021
                                                            ",percent
Bangladesh,Percent agricultural land,77.35,"
                                                                    2021
                                                            ",percent
Bangladesh,Employment in agriculture,37.09,"
                                                                    2021
                                                            ",percent
Bangladesh,GDP share of agriculture,11.22,"
                                                                    2022
                                                            ",percent
Bangladesh,Agriculture value added,51.62,"
                                                                    2022
                                                            ",billion U.S. dollars
Bangladesh,Agricultural land,"100,680","
                                                                    2021
                                                            ",sq. km.
Bangladesh,Crop production index,117.0,"
                                                                    2021
                                                            ",index points
Bangladesh,Precipitation,"2,666","
                                                                    2020
                                                            ",mm per year
Bangladesh,"Arable land, percent of land area",62.3,"
                                                                    2021
                                                            ",percent
Bangladesh,Cereal crop yield by hectar,"4,965","
                                                                    2021
                                                            ",kg per hectar
Bangladesh,Food production index,116.4,"
                                                                    2021
                                                            ",index points
Bangladesh,Fertilizer use,384.2,"
                                                                    2021
                                                            ",kg per hectare of arable land
Bangladesh,Livestock production index,115.2,"
                                                                    2021
                                                            ",index points
Bangladesh,"Forest area, sq.km ","18,834.0","
                                                                    2021
                                                            ",sq. km
Singapore,"Forest area, percent",21.4,"
                                                                    2021
                                                            ",percent
Singapore,Percent agricultural land,0.92,"
                                                                    2021
                                                            ",percent
Singapore,Employment in agriculture,0.32,"
                                                                    2021
                                                            ",percent
Singapore,GDP share of agriculture,0.03,"
                                                                    2022
                                                            ",percent
Singapore,Agriculture value added,0.13,"
                                                                    2022
                                                            ",billion U.S. dollars
Singapore,Agricultural land,7,"
                                                                    2021
                                                            ",sq. km.
Singapore,Crop production index,99.4,"
                                                                    2021
                                                            ",index points
Singapore,Precipitation,"2,497","
                                                                    2020
                                                            ",mm per year
Singapore,"Arable land, percent of land area",0.8,"
                                                                    2021
                                                            ",percent
Singapore,Food production index,112.3,"
                                                                    2021
                                                            ",index points
Singapore,Fertilizer use,140.9,"
                                                                    2021
                                                            ",kg per hectare of arable land
Singapore,Livestock production index,114.8,"
                                                                    2021
                                                            ",index points
Singapore,"Forest area, sq.km ",153.9,"
                                                                    2021
                                                            ",sq. km
China,"Forest area, percent",23.6,"
                                                                    2021
                                                            ",percent
China,Percent agricultural land,55.46,"
                                                                    2021
                                                            ",percent
China,Employment in agriculture,24.41,"
                                                                    2021
                                                            ",percent
China,GDP share of agriculture,7.30,"
                                                                    2022
                                                            ",percent
China,Agriculture value added,"1,311.31","
                                                                    2022
                                                            ",billion U.S. dollars
China,Agricultural land,"5,206,950","
                                                                    2021
                                                            ",sq. km.
China,Crop production index,109.2,"
                                                                    2021
                                                            ",index points
China,Precipitation,645,"
                                                                    2020
                                                            ",mm per year
China,"Arable land, percent of land area",11.6,"
                                                                    2021
                                                            ",percent
China,Cereal crop yield by hectar,"6,320","
                                                                    2021
                                                            ",kg per hectar
China,Food production index,108.7,"
                                                                    2021
                                                            ",index points
China,Fertilizer use,374.8,"
                                                                    2021
                                                            ",kg per hectare of arable land
China,Livestock production index,108.0,"
                                                                    2021
                                                            ",index points
China,"Forest area, sq.km ","2,218,577.5","
                                                                    2021
                                                            ",sq. km
Philippines,"Forest area, percent",24.2,"
                                                                    2021
                                                            ",percent
Philippines,Percent agricultural land,42.54,"
                                                                    2021
                                                            ",percent
Philippines,Employment in agriculture,24.27,"
                                                                    2021
                                                            ",percent
Philippines,GDP share of agriculture,9.55,"
                                                                    2022
                                                            ",percent
Philippines,Agriculture value added,38.61,"
                                                                    2022
                                                            ",billion U.S. dollars
Philippines,Agricultural land,"126,830","
                                                                    2021
                                                            ",sq. km.
Philippines,Crop production index,105.0,"
                                                                    2021
                                                            ",index points
Philippines,Precipitation,"2,348","
                                                                    2020
                                                            ",mm per year
Philippines,"Arable land, percent of land area",18.7,"
                                                                    2021
                                                            ",percent
Philippines,Cereal crop yield by hectar,"3,835","
                                                                    2021
                                                            ",kg per hectar
Philippines,Food production index,100.3,"
                                                                    2021
                                                            ",index points
Philippines,Fertilizer use,232.0,"
                                                                    2021
                                                            ",kg per hectare of arable land
Philippines,Livestock production index,86.4,"
                                                                    2021
                                                            ",index points
Philippines,"Forest area, sq.km ","72,234.8","
                                                                    2021
                                                            ",sq. km
India,"Forest area, percent",24.4,"
                                                                    2021
                                                            ",percent
India,Percent agricultural land,60.05,"
                                                                    2021
                                                            ",percent
India,Employment in agriculture,43.96,"
                                                                    2021
                                                            ",percent
India,GDP share of agriculture,16.73,"
                                                                    2022
                                                            ",percent
India,Agriculture value added,571.63,"
                                                                    2022
                                                            ",billion U.S. dollars
India,Agricultural land,"1,785,280","
                                                                    2021
                                                            ",sq. km.
India,Crop production index,120.6,"
                                                                    2021
                                                            ",index points
India,Precipitation,"1,083","
                                                                    2020
                                                            ",mm per year
India,"Arable land, percent of land area",51.9,"
                                                                    2021
                                                            ",percent
India,Cereal crop yield by hectar,"3,479","
                                                                    2021
                                                            ",kg per hectar
India,Food production index,123.8,"
                                                                    2021
                                                            ",index points
India,Fertilizer use,193.2,"
                                                                    2021
                                                            ",kg per hectare of arable land
India,Livestock production index,125.2,"
                                                                    2021
                                                            ",index points
India,"Forest area, sq.km ","724,264.0","
                                                                    2021
                                                            ",sq. km
